archivo_origen,anio,tipo_violencia_archivo,usuario,fecha,anio_publicacion,anio_mencionado,texto_original,texto_limpio,tipo_contenido,nivel_confianza,lugar_detectado,municipio_alcaldia,estado,nivel_ubicacion,violencia_mujer,es_basura,motivo_basura
violenciapsicologica2025.txt,2025,violencia psicológica,@rgolmedo,"Jun 30, 2025",2025,2025,"Rocío García Olmedo
@rgolmedo
·
Jun 30, 2025
Según INEGI, México está entre los países con mayor violencia contra las mujeres; 66 % de las mexicanas han sufrido algún tipo de violencia .
La violencia psicológica es infinitamente común—afecta al 49 %, seguido por la violencia sexual al 41.3 %
Image",rocio garcia olmedo jun 30 2025 segun inegi mexico esta entre los paises con mayor violencia contra las mujeres 66 de las mexicanas han sufrido algun tipo de violencia la violencia psicologica es infinitamente comun afecta al 49 seguido por la violencia sexual al 41 3,estadistica,0.95,,,Nacional,no_detectado,si,no,
violenciapsicologica2025.txt,2025,violencia psicológica,@ProdeconMexico,"Oct 25, 2025",2025,2025,"PRODECON México
@ProdeconMexico
·
Oct 25, 2025
🟠 #DíaNaranja​ 🟠",prodecon mexico oct 25 2025 dianaranja,institucional,0.8,,,Nacional,no_detectado,incierto,no,
violenciapsicologica2025.txt,2025,violencia psicológica,,,2025,,"En #México, aproximadamente 7 de cada 10 mujeres o niñas que hablan lengua indígena, han sufrido algún tipo de violencia (psicológica, económica, patrimonial, física o sexual) a lo largo de su vida. ​",en mexico aproximadamente 7 de cada 10 mujeres o ninas que hablan lengua indigena han sufrido algun tipo de violencia psicologica economica patrimonial fisica o sexual a lo largo de su vida,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2025.txt,2025,violencia psicológica,,,2025,,"En #PRODECON, 🗣️ alzamos la voz por todas las
Show more
Image",en prodecon alzamos la voz por todas las,institucional,0.8,,,Nacional,no_detectado,incierto,no,
violenciapsicologica2025.txt,2025,violencia psicológica,@VerdeCDMX,"May 20, 2025",2025,2025,"PVEM Cd. de México
@VerdeCDMX
·
May 20, 2025
Hoy dimos inicio al taller “La violencia psicológica como una manifestación de la violencia política contra las mujeres por razones de género”. 💚",pvem cd de mexico may 20 2025 hoy dimos inicio al taller la violencia psicologica como una manifestacion de la violencia politica contra las mujeres por razones de genero,estadistica,0.9,cdmx,,CDMX,estado,si,no,
violenciapsicologica2025.txt,2025,violencia psicológica,,,2025,,"Gracias a todas las mujeres que asistieron. Seguiremos construyendo juntas una política más justa, equitativa y libre de violencia.
Image
Image
Image
Image",gracias a todas las mujeres que asistieron seguiremos construyendo juntas una politica mas justa equitativa y libre de violencia,otro,0.2,,,Nacional,no_detectado,si,no,
violenciapsicologica2025.txt,2025,violencia psicológica,@LaVerdadJz,"Mar 13, 2025",2025,2025,"La Verdad
@LaVerdadJz
·
Mar 13, 2025
🔸 #Mujeres | Este cuerpo es mío",la verdad mar 13 2025 mujeres este cuerpo es mio,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2025.txt,2025,violencia psicológica,,,2025,,"En México la violencia sexual es la segunda violencia que más sufren las mujeres, después de la violencia psicológica y antes de la violencia económica. Sus consecuencias no dependen de la definición…",en mexico la violencia sexual es la segunda violencia que mas sufren las mujeres despues de la violencia psicologica y antes de la violencia economica sus consecuencias no dependen de la definicion,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2025.txt,2025,violencia psicológica,@DanielareaRea,"Mar 9, 2025",2025,2025,"Pie de Página
@PdPagina
·
Mar 9, 2025
#MujeresYFeminismos | En México la violencia sexual es la segunda violencia que más sufren las mujeres, después de la violencia psicológica y antes de la violencia económica. 
✍️
@DanielareaRea",pie de pagina mar 9 2025 mujeresyfeminismos en mexico la violencia sexual es la segunda violencia que mas sufren las mujeres despues de la violencia psicologica y antes de la violencia economica,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2025.txt,2025,violencia psicológica,@ICJmexico,"Sep 14, 2025",2025,2025,"ICJ México
@ICJmexico
·
Sep 14, 2025
⚖️ La Ley General de Acceso de las Mujeres a una Vida Libre de Violencia reconoce 5 formas de violencia: psicológica, física, patrimonial, económica y sexual.
Nombrarlas es el primer paso para detenerlas. ✋",icj mexico sep 14 2025 la ley general de acceso de las mujeres a una vida libre de violencia reconoce 5 formas de violencia psicologica fisica patrimonial economica y sexual nombrarlas es el primer paso para detenerlas,institucional,0.8,,,Nacional,no_detectado,si,no,
