archivo_origen,numero_tabla,nombre_indicador,fuente,categoria,subcategoria,anio,valor
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Total,Total,2003,9064458.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2003,1720408.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2003,7344050.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Emocional,Total,2003,7474242.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2003,1452585.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2003,6021657.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Económica,Total,2003,5709078.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Rural,2003,993189.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,nan,Urbana,2003,4715889.0
indicador1.xls,1,MUJERES DE 15 AÑOS Y MÁS CASADAS O UNIDAS CON AL MENOS UN INCIDENTE DE VIOLENCIA POR PARTE DE SU PAREJA EN LOS ÚLTIMOS 12 MESES POR TIPO DE VIOLENCIA Y TAMAÑO DE LOCALIDAD,INMUJERES,Física,Total,2003,1813370.0
