tema,subtema,nombre_indicador,entidad,anio,categoria,valor,unidad
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Estados Unidos Mexicanos,2006.0,,67.0,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Estados Unidos Mexicanos,2011.0,,62.8,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Estados Unidos Mexicanos,2016.0,,66.1,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Estados Unidos Mexicanos,2021.0,,70.1,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Aguascalientes,2006.0,,70.5,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Aguascalientes,2011.0,,63.1,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Aguascalientes,2016.0,,73.3,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Aguascalientes,2021.0,,72.8,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Baja California,2006.0,,61.8,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Baja California,2011.0,,66.2,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Baja California,2016.0,,66.2,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Baja California,2021.0,,69.2,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Baja California Sur,2006.0,,59.4,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Baja California Sur,2011.0,,55.9,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Baja California Sur,2016.0,,55.4,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Baja California Sur,2021.0,,63.3,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Campeche,2006.0,,59.5,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Campeche,2011.0,,59.1,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Campeche,2016.0,,53.6,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Campeche,2021.0,,67.0,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Coahuila de Zaragoza,2006.0,,59.2,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Coahuila de Zaragoza,2011.0,,58.6,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Coahuila de Zaragoza,2016.0,,66.3,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Coahuila de Zaragoza,2021.0,,72.3,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Colima,2006.0,,74.1,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Colima,2011.0,,64.8,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Colima,2016.0,,62.0,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Colima,2021.0,,73.9,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Chiapas,2006.0,,48.5,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Chiapas,2011.0,,43.5,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Chiapas,2016.0,,52.4,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Chiapas,2021.0,,48.7,porcentaje
Situación de la violencia,Situación general,Prevalencia de violencia total contra las mujeres de 15 años y más a lo largo de su vida,Chihuahua,2006.0,,68.4,porcentaje
